	Rumpun Ilmu	Rumpun Ilmu (Bahasa Inggris)	Pohon Ilmu	Pohon Ilmu (Bahasa Inggris)	Cabang Ilmu	Cabang Ilmu (Bahasa Inggris)
29	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN TEKNOLOGI INFORMASI	INFORMATION TECHNOLOGY EDUCATION
30	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN SASTRA JAWA	JAVA LITERATURE EDUCATION
31	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN UMUM DAN KARAKTER	GENERAL AND CHARACTER EDUCATION
32	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASI KETEKNIKAN	TECHNICAL VOCATIONAL EDUCATION
33	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASIONAL AGRIBISNIS	AGRIBUSINESS VOCATIONAL EDUCATION
34	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASIONAL DESAIN FASHION	FASHION DESIGN VOCATIONAL EDUCATION
35	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN SENI	ARTS EDUCATION
36	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASIONAL GAMBAR ARSITEKTUR	ARCHITECTURAL DRAFTING VOCATIONAL EDUCATION
37	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASIONAL MEKATRONIKA	MECHATRONICS VOCATIONAL EDUCATION
38	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASIONAL REKAYASA ELEKTRONIKA	ELECTRONICS ENGINEERING VOCATIONAL EDUCATION
39	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASIONAL KONSTRUKSI BANGUNAN	BUILDING CONSTRUCTION VOCATIONAL EDUCATION
40	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASIONAL REKAYASA MESIN	MECHANICAL ENGINEERING VOCATIONAL EDUCATION
41	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASIONAL REKAYASA ELEKTRO	ELECTRICAL ENGINEERING VOCATIONAL EDUCATION
42	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASIONAL KESEJAHTERAAN KELUARGA	FAMILY WELFARE VOCATIONAL EDUCATION
43	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN KRIYA	CRAFT EDUCATION
44	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASIONAL TATA RIAS	COSMETOLOGY VOCATIONAL EDUCATION
45	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENGAJARAN MATEMATIKA	MATHEMATICS TEACHING
46	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENGEMBANGAN KURIKULUM	CURRICULUM DEVELOPMENT
1	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN VOKASIONAL TEKNIK ATAU REKAYASA PERTANIAN	AGRICULTURAL ENGINEERING VOCATIONAL EDUCATION
2	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA MELAYU	MALAY LANGUAGE EDUCATION
3	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA KOREA	KOREA LANGUAGE EDUCATION
4	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA JERMAN	GERMAN LANGUAGE EDUCATION
5	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA JEPANG	JAPAN LANGUAGE EDUCATION
6	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA JAWA	JAVA LANGUAGE EDUCATION
7	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PEDAGOGI	PEDAGOGY
8	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA INGGRIS	ENGLISH LANGUAGE EDUCATION
9	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA BUGIS	BUGINESE LANGUAGE EDUCATION
10	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA INDONESIA	INDONESIA LANGUAGE EDUCATION
11	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA DAN SASTRA INDONESIA	INDONESIAN LANGUAGE AND LITERATURE EDUCATION
12	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA DAN SASTRA JAWA	JAVANESE LANGUAGE AND LITERATURE EDUCATION
13	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA DAN KEBUDAYAAN LAMPUNG	LAMPUNG LANGUAGE AND CULTURAL EDUCATION
14	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA ARAB	ARABIC LANGUAGE EDUCATION
15	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	MANAJEMEN PENDIDIKAN	EDUCATION MANAGEMENT
16	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA BALI	BALI LANGUAGE EDUCATION
17	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN ANAK USIA DINI	EARLY CHILDHOOD EDUCATION
18	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN ANTROPOLOGI	ANTHROPOLOGY EDUCATION
19	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN AKUNTANSI	ACCOUNTING EDUCATION
20	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN AGAMA ISLAM	ISLAM RELIGION EDUCATION
21	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN ADMINISTRASI PERKANTORAN	OFFICE ADMINISTRATION EDUCATION
22	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN	EDUCATION
23	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	BIMBINGAN DAN KONSELING	GUIDANCE AND COUNSELING
24	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	EVALUASI PENDIDIKAN	EDUCATION EVALUATION
25	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	ADMINISTRASI PENDIDIKAN	EDUCATION ADMINISTRATION
26	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN KEPELATIHAN OLAHRAGA	SPORTS COACHING EDUCATION
27	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN KOPERASI	CO-OPERATIVE EDUCATION
28	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENELITIAN DAN EVALUASI PENDIDIKAN	EDUCATIONAL RESEARCH AND EVALUATION
29	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENGAJARAN KIMIA	CHEMISTRY TEACHING
30	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	TEKNOLOGI PENDIDIKAN	EDUCATIONAL TECHNOLOGY
31	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENJAMINAN MUTU PENDIDIKAN	QUALITY ASSURANCE IN EDUCATION
32	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN KHUSUS	SPECIAL EDUCATION
33	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN KIMIA	CHEMISTRY EDUCATION
34	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN KEPERCAYAAN TERHADAP TUHAN YANG MAHA ESA	EDUCATION OF FAITH IN GOD
35	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN KOMPUTER ATAU INFORMATIKA	COMPUTER OR INFORMATICS EDUCATION
36	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN KEAGAMAAN KRISTEN	CHRISTIANITY RELIGION EDUCATION
37	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN KEAGAMAAN KATOLIK	CATHOLICISM RELIGION EDUCATION
38	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN KEAGAMAAN HINDU	HINDUISM RELIGION EDUCATION
39	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN KEAGAMAAN BUDDHA	BUDDHISM RELIGION EDUCATION
40	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN JASMANI SEKOLAH DASAR	ELEMENTARY PHYSICAL EDUCATION
41	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN JASMANI	PHYSICAL EDUCATION
42	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN EKONOMI	ECONOMICS EDUCATION
43	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BUDAYA SUNDA	SUNDANESE CULTURAL EDUCATION
44	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA DAN KEBUDAYAAN SUNDA	SUNDANESE LANGUAGE AND CULTURAL EDUCATION
45	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN ILMU PENGETAHUAN SOSIAL	SOCIAL SCIENCE EDUCATION
46	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN ILMU PENGETAHUAN ALAM	NATURAL SCIENCE EDUCATION
47	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BISNIS	BUSINESS EDUCATION
48	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN GURU VOKASI (KEJURUAN)	VOCATIONAL TEACHER EDUCATION
49	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN GURU SEKOLAH DASAR	ELEMENTARY TEACHER EDUCATION
1	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN GEOGRAFI	GEOGRAPHY EDUCATION
2	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA MANDARIN	CHINA LANGUAGE EDUCATION
3	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA PERANCIS	FRENCH LANGUAGE EDUCATION
4	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN FISIKA	PHYSICS EDUCATION
5	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA MAKASSAR	MAKASSARESE LANGUAGE EDUCATION
6	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN DASAR	ELEMENTARY EDUCATION
7	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA LAMPUNG	LAMPUNG LANGUAGE EDUCATION
8	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BIOLOGI	BIOLOGY EDUCATION
9	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PENDIDIKAN-PENDIDIKAN	EDUCATION-EDUCATION	PENDIDIKAN BAHASA SUNDA	SUNDANESE LANGUAGE EDUCATION
10	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTAHANAN-PERTAHANAN	DEFENSE-DEFENSE	MANAJEMEN PERTAHANAN MATRA DARAT	LAND DEFENSE MANAGEMENT
11	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTAHANAN-PERTAHANAN	DEFENSE-DEFENSE	MANAJEMEN PERTAHANAN MATRA LAUT	MARITIME DEFENSE MANAGEMENT
12	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTAHANAN-PERTAHANAN	DEFENSE-DEFENSE	MANAJEMEN PERTAHANAN MATRA UDARA	AIR DEFENSE MANAGEMENT
13	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	PERIKANAN TANGKAP	CAPTURE FISHERIES
14	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	PENGOLAHAN DAN PENYIMPANAN HASIL PERIKANAN	AQUATIC PRODUCT PROCESSING AND STORAGE
15	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	AGRIBISNIS PERIKANAN	FISHERIES AGRIBUSINESS
16	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	PEMBENIHAN IKAN	FISH HATCHERY
17	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	BIOTEKNOLOGI PERIKANAN	FISHERIES BIOTECHNOLOGY
18	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	MANAJEMEN ATAU PENGELOLAAN SUMBER DAYA PERAIRAN	WATER OR AQUATIC RESOURCES MANAGEMENT
19	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	ILMU ATAU SAINS PERIKANAN	FISHERIES SCIENCE
20	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	BUDIDAYA PERIKANAN LELE DAN BAWAL	CAT FISH AND POMFRET FISHERIES BREEDING
21	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	AKUAKULTUR	AQUACULTURE
22	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	PENGOLAHAN HASIL LAUT ATAU HASIL PERIKANAN	MARINE OR FISHERIES PRODUCT PROCESSING
23	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	TEKNOLOGI HASIL PERIKANAN	FISH PRODUCT TECHNOLOGY
24	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	USAHA BUDI DAYA IKAN	FISH FARMING BUSINESS
25	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	SUMBER DAYA AKUATIK	AQUATIC RESOURCES
26	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	SOSIAL EKONOMI PERIKANAN	FISHERIES SOCIOECONOMICS
27	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	TEKNOLOGI PENANGKAPAN IKAN	FISH CAPTURE TECHNOLOGY
28	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	TEKNOLOGI HASIL PERAIRAN	AQUATIC PRODUCT TECHNOLOGY
29	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	TEKNOLOGI CERDAS PENANGKAPAN IKAN	SMART FISHING TECHNOLOGY
30	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	BUDIDAYA PERIKANAN PRESISI	PRECISION FISH FARMING
31	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	TEKNOLOGI PEMBENIHAN IKAN	FISH HATCHERY TECHNOLOGY
32	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	BUDI DAYA IKAN	FISH FARMING
33	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	TEKNOLOGI BUDI DAYA PERIKANAN/TEKNOLOGI AKUAKULTUR	AQUACULTURE TECHNOLOGY
34	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	BUDI DAYA IKAN AIR TAWAR	FRESHWATER FISH FARMING
35	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERIKANAN	AGRICULTURE-FISHERIES SCIENCE	BUDIDAYA PERIKANAN TERPADU	INTEGRATED AQUACULTURE
36	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	PENGELOLAAN AGRIBISNIS	AGRIBUSINESS MANAGEMENT
37	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	PENGOLAHAN HASIL PERKEBUNAN TERPADU	INTEGRATED PLANTATION PRODUCT PROCESSING
1	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	BUDI DAYA PERTANIAN LAHAN KERING	UPLAND FARMING
2	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	AGROFORESTRI TROPIS	TROPICAL AGROFORESTRY
3	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	BUDI DAYA TANAMAN HORTIKULTURA	HORTICULTURE FARMING
4	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	EKONOMI PERTANIAN	AGRICULTURAL ECONOMICS
5	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	BUDI DAYA TANAMAN PANGAN	EDIBLE PLANTS FARMING
6	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	AGRIBISNIS PANGAN	FOOD AGRIBUSINESS
7	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	AGROEKOTEKNOLOGI ATAU AGROTEKNOLOGI	AGROECOTECHNOLOGY OR AGROTECHNOLOGY
8	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	BUDI DAYA TANAMAN KARET	RUBBER PLANTATION
9	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	ENTOMOLOGI PERTANIAN	AGRICULTURAL ENTOMOLOGY
10	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	AGRONOMI	AGRONOMY
11	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	HORTIKULTURA	HORTICULTURE
12	RUMPUN ILMU TERAPAN	PROFESSION AND APPLIED SCIENCES	PERTANIAN-ILMU ATAU SAINS PERTANIAN	AGRICULTURE-AGRICULTURAL SCIENCE	MIKROBIOLOGI PERTANIAN	AGRICULTURAL MICROBIOLOGY
